,Unnamed: 0.1,Unnamed: 0,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,IMAX,Documentary,War,Musical,Western,Film-Noir,cluster
7059,7059,7060,163,132,84,337,153,154,427,134,115,155,54,87,163,24,4,17,46,9,4,2
12789,12789,12790,17,0,5,25,7,14,13,23,7,13,0,4,8,2,0,0,2,0,0,2
82030,82030,82031,118,83,82,253,107,167,511,103,132,170,48,108,66,12,7,45,57,25,26,0
137591,137591,137592,88,53,36,106,48,38,180,114,99,61,13,24,41,4,4,54,6,3,3,3
143196,143196,143197,48,14,14,50,40,4,22,43,12,18,48,0,23,11,0,0,4,0,0,3
96989,96989,96990,55,8,8,110,25,39,190,82,85,58,25,14,48,0,0,50,0,18,8,0
47631,47631,47632,40,0,0,48,4,31,32,48,9,41,0,4,28,0,0,1,0,0,0,4
48687,48687,48688,60,25,41,112,48,43,121,72,55,51,23,16,36,21,0,21,18,0,0,4
16795,16795,16796,158,29,32,227,75,84,161,187,75,101,55,27,103,0,0,32,25,23,0,2
101049,101049,101050,49,0,0,104,27,7,47,108,9,74,218,3,114,20,0,5,0,7,0,1
61116,61116,61117,88,34,68,258,54,182,284,156,85,181,29,31,60,15,0,26,35,21,5,4
125694,125694,125695,31,29,39,26,14,28,60,13,19,23,5,0,0,14,0,3,24,5,0,1
57127,57127,57128,68,7,23,69,23,31,53,143,63,110,7,11,38,3,0,17,3,7,0,4
45239,45239,45240,20,2,15,191,6,85,105,19,30,11,0,5,13,0,0,14,0,15,0,4
34437,34437,34438,36,9,7,81,19,31,51,40,46,62,15,23,28,0,0,9,0,0,5,4
63302,63302,63303,195,54,78,193,121,141,375,168,128,132,28,56,104,58,70,71,19,16,11,0
96556,96556,96557,184,94,97,236,120,97,164,133,71,105,46,46,87,62,0,14,51,8,0,0
73220,73220,73221,89,16,13,50,31,17,43,94,29,32,4,9,65,22,0,8,3,4,0,0
97102,97102,97103,41,5,14,45,16,17,40,46,16,51,6,7,16,0,0,5,5,0,0,0
26059,26059,26060,55,20,28,115,46,52,92,32,20,59,45,25,17,8,6,0,3,0,0,4
33844,33844,33845,25,0,0,17,3,24,56,45,25,46,1,7,17,3,0,9,0,7,0,4
158390,158390,158391,63,13,17,53,12,45,92,65,29,71,2,16,27,10,0,26,8,9,0,3
118390,118390,118391,55,24,17,36,21,17,40,58,11,28,8,4,33,3,0,5,3,0,0,1
18693,18693,18694,133,22,41,107,44,98,164,229,67,151,15,9,93,12,0,35,21,16,0,2
132282,132282,132283,67,5,5,31,34,25,104,95,32,41,8,16,77,45,0,14,0,0,0,1
7416,7416,7417,40,14,26,114,19,79,51,37,13,19,0,0,8,10,0,4,14,8,0,2
69609,69609,69610,21,7,7,25,7,21,76,22,31,31,5,11,6,0,0,20,3,3,0,0
106443,106443,106444,823,174,159,931,332,208,1288,1422,687,1186,327,308,739,273,60,180,51,84,31,1
136120,136120,136121,240,88,61,269,181,122,342,187,97,86,31,60,145,34,0,42,27,17,18,3
91485,91485,91486,5,0,0,23,0,20,80,3,28,31,3,17,6,0,0,13,0,0,0,0
8286,8286,8287,705,328,548,1735,390,677,1585,601,429,557,144,193,330,121,74,139,206,43,19,2
70186,70186,70187,111,17,14,94,26,22,83,165,52,135,27,37,169,4,1,5,0,12,0,0
15723,15723,15724,54,18,23,130,49,72,140,68,43,79,19,40,68,0,0,12,16,7,0,2
94733,94733,94734,26,15,21,58,16,52,90,36,18,50,3,8,15,10,0,22,15,12,0,0
119226,119226,119227,88,8,13,11,34,0,38,108,29,66,9,8,70,55,0,9,0,0,0,1
42509,42509,42510,571,90,111,852,212,532,1607,717,385,678,112,251,663,123,157,139,105,37,38,4
88957,88957,88958,33,8,16,57,9,45,62,38,15,50,3,3,7,7,0,21,8,8,0,0
58905,58905,58906,192,52,63,313,126,226,502,229,237,225,44,124,99,38,5,59,49,11,36,4
25026,25026,25027,134,23,40,500,89,263,634,163,113,145,26,59,184,0,0,86,30,18,15,4
67162,67162,67163,81,23,11,387,66,107,340,85,188,152,22,52,49,3,2,42,12,7,4,0
72013,72013,72014,22,0,0,4,15,3,39,28,9,36,2,20,31,13,12,4,0,0,0,0
49779,49779,49780,106,15,9,362,32,158,550,130,189,172,30,39,70,3,18,57,24,10,0,4
50634,50634,50635,25,6,12,17,9,22,28,41,18,45,5,0,12,3,0,8,3,0,0,4
96109,96109,96110,148,37,37,246,86,159,420,235,210,212,27,77,131,52,4,46,22,9,11,0
64983,64983,64984,322,76,73,233,128,189,337,424,132,264,25,77,211,132,0,49,13,5,3,0
99536,99536,99537,80,12,11,152,29,62,366,159,162,188,12,81,70,46,10,45,2,9,12,0
30910,30910,30911,369,148,174,518,201,170,418,434,265,318,79,139,224,119,0,62,38,23,10,4
90792,90792,90793,100,30,46,120,43,62,116,140,51,121,15,12,57,10,0,19,21,15,0,0
135039,135039,135040,61,10,10,13,16,5,22,57,17,12,0,4,49,14,0,5,0,4,0,3
113040,113040,113041,14,6,6,109,14,79,182,4,21,11,6,9,9,2,0,6,0,0,0,1
87291,87291,87292,17,7,14,34,8,30,91,24,30,60,9,19,0,5,5,12,7,3,0,0
73764,73764,73765,241,17,25,187,70,88,396,391,210,336,29,100,253,80,0,59,3,10,4,0
106018,106018,106019,51,7,19,332,28,120,374,101,209,168,47,63,43,4,37,33,21,10,33,1
145463,145463,145464,96,38,136,246,80,97,179,30,22,53,18,24,30,14,0,3,47,0,1,3
27991,27991,27992,62,8,20,70,28,24,62,77,38,59,9,4,36,4,0,8,8,0,4,4
18040,18040,18041,0,0,0,11,0,0,21,45,37,60,48,13,13,0,4,0,0,4,0,2
116197,116197,116198,41,0,9,15,15,7,30,48,23,24,19,7,10,0,0,10,0,4,0,1
108851,108851,108852,54,4,8,101,31,72,339,161,205,277,42,136,106,23,0,16,8,15,15,1
13941,13941,13942,70,8,13,63,16,21,82,91,42,55,31,11,109,0,0,17,4,6,3,2
8082,8082,8083,24,5,7,48,17,42,55,22,22,27,4,18,5,4,0,4,0,0,0,2
154393,154393,154394,247,192,153,206,162,148,493,226,154,192,27,86,147,67,0,58,39,10,3,3
156840,156840,156841,98,75,44,62,53,24,152,146,84,134,50,42,100,31,0,17,13,4,4,3
58110,58110,58111,69,4,3,246,15,64,170,102,109,74,0,16,55,12,0,29,4,7,0,4
141770,141770,141771,995,444,483,951,578,460,765,1068,325,560,60,117,459,327,16,98,156,39,7,3
87560,87560,87561,138,14,7,134,67,81,464,241,187,318,44,131,275,53,0,28,0,10,4,0
43071,43071,43072,90,21,33,89,44,30,42,106,17,60,44,7,80,18,0,0,3,2,0,4
55632,55632,55633,114,14,16,285,41,209,640,167,154,277,91,105,103,1,0,59,25,22,34,4
47720,47720,47721,28,4,4,34,4,18,52,44,49,86,6,37,25,0,0,5,7,0,8,4
160929,160929,160930,123,55,97,240,72,172,385,117,102,138,64,60,90,10,7,77,92,17,24,3
71459,71459,71460,275,73,52,498,141,334,1256,374,487,515,98,226,186,25,76,161,37,61,62,0
134529,134529,134530,1277,819,589,1026,604,238,1206,1577,596,1139,380,269,861,260,64,272,134,63,17,3
124092,124092,124093,140,19,31,61,59,30,136,155,71,76,16,27,85,59,0,17,4,0,0,1
83313,83313,83314,38,4,8,26,12,8,48,60,26,24,0,8,21,4,0,11,0,5,0,0
76796,76796,76797,36,10,14,55,12,30,80,31,45,55,17,27,11,6,0,14,7,0,0,0
154372,154372,154373,391,41,68,629,150,385,1163,465,406,494,98,215,254,37,28,209,68,163,73,3
85583,85583,85584,197,17,21,184,41,96,231,308,134,215,14,34,137,61,5,41,11,9,2,0
127345,127345,127346,11,0,0,23,4,28,48,14,13,30,10,5,4,0,0,5,0,0,0,1
136810,136810,136811,483,144,165,548,192,167,535,600,322,598,90,173,221,61,3,60,112,16,11,3
81332,81332,81333,295,78,99,358,128,112,297,368,142,226,19,53,208,7,3,72,31,20,7,0
69349,69349,69350,28,8,8,85,20,28,75,7,23,10,0,7,8,0,9,10,11,10,4,0
86417,86417,86418,69,14,21,60,13,55,95,116,47,106,8,19,40,15,0,23,14,17,0,0
67139,67139,67140,111,53,60,182,57,126,237,156,105,165,25,33,55,14,18,21,35,19,0,0
48152,48152,48153,253,71,127,338,147,177,211,164,48,91,5,37,115,60,4,4,35,8,0,4
157592,157592,157593,119,55,19,193,117,208,807,104,178,198,45,140,99,38,18,18,43,15,26,3
108708,108708,108709,37,7,7,59,52,48,139,36,56,74,19,45,33,21,0,9,13,0,5,1
4622,4622,4623,37,14,16,127,15,47,114,62,61,72,18,39,53,0,0,34,0,3,7,2
146604,146604,146605,137,40,26,171,69,48,147,139,102,73,2,20,85,22,0,11,11,6,0,3
6409,6409,6410,12,6,11,39,3,23,60,7,15,15,0,0,5,6,4,4,6,3,0,2
81236,81236,81237,64,28,32,213,41,123,424,79,141,116,22,47,49,0,12,62,14,8,4,0
100076,100076,100077,59,19,14,59,41,16,127,93,56,90,87,22,45,15,4,17,11,0,0,1
108441,108441,108442,104,38,29,254,69,140,309,126,101,196,65,74,115,19,18,31,15,0,3,1
104500,104500,104501,197,51,53,165,73,31,104,181,71,103,16,17,101,75,0,24,13,4,0,1
66757,66757,66758,306,81,83,284,169,228,244,294,84,141,50,35,195,146,3,19,54,0,0,0
32650,32650,32651,47,0,6,80,16,56,216,39,35,67,41,34,13,4,7,30,0,11,6,4
45532,45532,45533,23,10,14,69,0,29,196,40,102,57,9,18,14,4,5,18,0,0,9,4
41322,41322,41323,27,6,12,38,8,27,59,42,26,49,8,11,26,6,0,14,6,3,0,4
61538,61538,61539,19,11,11,33,10,31,23,31,8,14,2,0,4,0,0,0,7,2,0,4
136497,136497,136498,18,0,0,113,12,36,33,15,20,9,4,1,3,0,0,4,3,4,0,3
20019,20019,20020,405,75,88,747,128,277,873,618,416,529,90,191,266,8,38,137,62,69,47,2
132318,132318,132319,93,74,22,78,61,33,75,47,19,17,0,19,58,4,0,9,9,4,0,1
147695,147695,147696,126,59,44,27,60,12,67,114,32,36,11,14,73,38,0,12,9,5,0,3
18438,18438,18439,48,12,0,39,30,55,261,91,107,124,40,42,57,22,0,34,0,9,4,2
68343,68343,68344,11,6,12,95,16,41,95,50,35,84,94,30,25,0,3,12,3,1,0,0
23252,23252,23253,211,84,126,386,112,168,485,229,222,220,55,79,106,12,12,78,65,31,13,2
156512,156512,156513,346,164,280,637,203,319,362,337,111,130,50,38,182,12,0,52,208,26,4,3
86685,86685,86686,336,56,111,651,143,397,891,388,308,478,130,164,289,0,9,87,98,64,32,0
21239,21239,21240,24,5,0,14,20,9,59,36,22,41,0,22,21,13,0,0,0,5,0,2
54048,54048,54049,49,19,34,77,22,41,48,48,21,38,8,3,22,14,0,7,22,10,0,4
121020,121020,121021,15,0,8,25,13,18,69,17,43,20,5,5,0,0,0,10,5,2,5,1
8473,8473,8474,65,23,29,105,35,21,46,81,19,24,15,10,43,11,0,0,12,0,0,2
51161,51161,51162,78,37,31,62,30,27,145,87,61,60,8,21,64,33,0,31,7,5,0,4
134270,134270,134271,36,15,5,24,15,19,80,32,32,60,10,25,42,10,15,5,0,3,0,3
96241,96241,96242,38,3,3,54,18,26,51,27,4,31,9,7,25,1,0,0,0,0,4,0
94617,94617,94618,26,9,9,30,8,19,41,28,23,33,5,0,13,9,0,13,9,5,0,0
98069,98069,98070,37,6,11,63,7,73,139,32,37,43,7,47,17,0,2,20,8,5,39,0
27484,27484,27485,17,10,7,30,6,3,57,28,29,25,3,3,18,0,0,0,0,0,4,4
94310,94310,94311,28,3,14,77,10,36,36,25,9,11,0,0,15,0,0,5,5,4,0,0
61288,61288,61289,36,12,12,34,4,23,41,33,21,46,0,7,6,4,0,3,8,4,0,4
139104,139104,139105,493,135,135,915,245,509,1462,714,556,739,160,256,332,135,3,173,61,40,17,3
91096,91096,91097,16,0,0,96,0,24,100,28,71,86,16,55,22,0,0,0,0,4,4,0
151588,151588,151589,142,38,32,365,69,219,657,222,263,255,45,115,116,47,6,55,45,30,23,3
76943,76943,76944,44,8,4,43,38,20,55,46,19,17,4,17,21,10,0,0,8,0,0,0
16513,16513,16514,46,18,25,52,19,21,71,62,41,65,3,10,20,12,0,16,18,3,0,2
52090,52090,52091,37,3,3,189,24,68,62,40,37,29,6,23,14,0,0,5,12,0,4,4
80441,80441,80442,24,3,0,39,10,12,101,49,48,49,4,32,27,3,0,11,0,0,0,0
120620,120620,120621,8,0,5,115,4,123,247,32,64,75,3,19,20,4,4,18,0,0,3,1
82229,82229,82230,72,20,25,82,20,51,64,70,27,76,0,11,34,0,0,3,15,0,0,0
51210,51210,51211,140,156,150,357,113,102,98,82,39,58,78,22,65,8,0,3,71,5,0,4
77918,77918,77919,139,36,30,281,57,68,377,220,201,279,56,109,182,33,18,36,29,19,20,0
127476,127476,127477,414,79,133,419,200,305,439,432,102,211,28,36,223,30,0,56,79,28,0,1
100564,100564,100565,55,12,8,55,14,32,178,56,34,68,1,21,53,34,3,21,1,5,0,1
104489,104489,104490,450,25,37,444,157,296,812,688,360,621,46,208,419,222,4,70,8,21,22,1
29945,29945,29946,14,0,4,44,8,48,63,32,29,40,9,4,5,0,0,21,0,9,0,4
17141,17141,17142,10,4,1,23,0,16,25,23,0,25,20,9,19,3,0,5,3,0,0,2
117604,117604,117605,71,12,4,66,26,14,153,121,99,107,35,32,66,51,0,32,0,5,6,1
130827,130827,130828,70,11,11,60,26,29,135,112,81,102,22,31,47,4,0,31,6,0,8,1
162057,162057,162058,437,295,320,467,253,159,257,244,82,73,4,35,115,141,3,26,48,6,0,3
153675,153675,153676,42,4,10,31,10,18,31,51,10,36,0,6,20,0,0,0,3,0,0,3
6873,6873,6874,106,62,37,43,46,16,127,97,43,46,0,34,63,27,0,25,3,0,7,2
37897,37897,37898,192,72,152,514,191,316,186,99,19,18,12,9,68,9,0,8,45,4,0,4
99951,99951,99952,722,182,236,929,304,478,1310,912,582,965,192,250,400,30,23,214,115,95,25,0
50294,50294,50295,60,27,37,167,39,90,189,64,70,95,31,45,27,10,17,7,8,4,0,4
149170,149170,149171,45,18,22,96,27,48,115,21,48,39,4,10,16,8,8,6,8,11,0,3
35798,35798,35799,67,23,22,67,18,25,58,120,60,134,48,19,52,5,0,11,6,4,0,4
71672,71672,71673,189,54,57,191,91,171,512,216,187,201,29,92,154,67,30,51,12,10,3,0
84051,84051,84052,25,0,5,1,1,10,100,101,79,97,0,16,16,21,0,10,0,0,0,0
122615,122615,122616,99,11,9,125,23,34,282,184,146,133,18,25,58,4,15,89,10,33,8,1
125944,125944,125945,468,119,105,537,196,202,602,703,332,555,137,164,348,125,18,96,29,32,7,1
24145,24145,24146,11,6,9,42,7,27,40,21,11,20,1,0,8,0,0,10,6,2,0,2
861,861,862,28,4,7,19,16,18,103,40,55,44,4,11,19,12,4,16,0,0,0,2
61917,61917,61918,307,75,91,596,142,209,585,323,192,358,72,106,303,28,10,70,44,19,26,4
127770,127770,127771,52,0,0,21,0,13,42,89,44,86,13,9,32,0,0,7,0,0,0,1
117863,117863,117864,121,43,36,103,80,63,134,112,67,106,25,43,51,48,0,5,43,5,0,1
4255,4255,4256,91,41,44,139,43,48,106,117,50,72,30,16,73,17,4,15,16,9,0,2
41348,41348,41349,9,0,3,19,6,0,51,6,35,23,0,11,3,0,0,4,0,0,0,4
152538,152538,152539,265,29,53,436,90,231,542,440,201,529,208,124,436,0,0,58,13,29,20,3
147806,147806,147807,233,66,80,471,91,379,597,320,157,277,12,70,134,12,6,80,59,20,13,3
87910,87910,87911,23,19,24,39,15,14,18,36,14,23,15,7,30,0,0,4,11,4,0,0
66602,66602,66603,111,50,71,305,55,134,164,100,74,62,34,27,34,19,7,9,18,3,0,0
69312,69312,69313,33,20,27,46,20,45,46,21,8,25,0,3,16,12,0,4,14,0,0,0
111899,111899,111900,17,2,2,16,9,4,25,35,23,34,11,4,11,0,0,8,0,0,3,1
69779,69779,69780,80,27,46,98,45,40,51,71,18,75,13,13,31,0,0,0,18,0,0,0
113495,113495,113496,146,28,28,73,74,37,198,235,122,239,79,95,130,29,0,28,11,0,4,1
122064,122064,122065,324,166,212,517,151,264,659,383,300,296,41,88,184,54,8,50,82,29,24,1
160870,160870,160871,31,37,35,70,29,16,29,23,7,60,130,11,33,5,5,0,8,0,0,3
23511,23511,23512,198,133,54,100,145,137,326,174,75,124,32,53,160,47,0,12,6,4,4,2
113375,113375,113376,28,5,5,17,3,0,28,37,23,32,5,0,18,3,0,8,5,4,0,1
105629,105629,105630,26,0,0,70,0,8,12,18,21,21,3,3,8,0,0,3,0,0,0,1
118549,118549,118550,46,8,3,30,11,16,99,56,42,81,18,46,82,0,0,9,1,0,21,1
63495,63495,63496,48,27,36,137,19,115,207,25,32,24,2,10,19,5,7,32,35,8,0,0
137880,137880,137881,28,0,0,29,5,8,36,72,30,71,0,14,41,0,0,0,0,4,0,3
95014,95014,95015,21,0,4,85,36,26,142,52,35,187,331,79,61,0,14,13,25,0,0,0
41681,41681,41682,64,19,48,39,28,9,78,60,25,64,4,10,25,14,0,4,17,0,0,4
95362,95362,95363,35,3,5,82,38,140,490,28,58,71,33,78,42,3,21,39,6,0,21,0
44496,44496,44497,33,34,47,308,62,127,165,14,12,10,2,7,17,4,30,7,46,0,0,4
70848,70848,70849,134,89,112,189,104,138,327,82,108,97,22,46,76,28,0,26,75,4,4,0
65724,65724,65725,19,4,4,16,16,13,52,38,13,15,4,4,23,3,0,18,0,0,0,0
103953,103953,103954,98,41,77,132,78,75,80,85,20,45,29,9,42,17,0,21,41,0,0,1
42745,42745,42746,320,198,201,754,253,521,1478,275,293,334,109,164,188,68,310,123,146,21,31,4
60429,60429,60430,133,38,33,177,73,32,182,251,123,234,143,55,136,34,1,12,9,4,0,4
153746,153746,153747,55,18,28,465,49,137,125,54,52,26,5,12,23,0,5,9,19,8,0,3
39519,39519,39520,50,14,19,50,15,26,64,66,43,71,9,5,23,15,0,13,14,5,0,4
119060,119060,119061,277,28,41,342,113,105,273,375,137,265,53,41,234,38,17,35,27,10,4,1
112682,112682,112683,133,17,36,105,47,32,80,135,31,66,28,28,103,14,0,17,4,0,0,1
6093,6093,6094,55,10,27,76,23,28,99,90,55,101,12,11,28,9,0,18,10,7,0,2
85154,85154,85155,5,5,3,25,4,18,70,5,7,0,0,0,0,0,0,4,0,0,0,0
131314,131314,131315,49,9,18,62,17,49,122,51,50,72,9,22,34,5,5,18,11,5,0,1
145391,145391,145392,134,32,108,249,65,111,177,149,51,93,7,21,52,13,3,32,29,21,0,3
67276,67276,67277,271,104,89,147,143,27,173,319,129,223,148,48,186,122,0,28,4,8,0,0
42584,42584,42585,111,40,46,124,55,36,152,120,97,120,22,41,70,10,2,15,16,2,4,4
48034,48034,48035,82,8,4,132,51,111,341,115,124,223,109,129,94,5,4,9,12,0,16,4
42944,42944,42945,35,6,9,71,13,54,121,61,67,89,16,19,21,7,4,12,6,9,0,4
43865,43865,43866,25,2,3,27,6,8,13,30,5,28,0,3,14,0,3,0,1,0,0,4
77397,77397,77398,559,187,282,1121,290,486,1247,717,424,574,104,145,298,65,22,155,91,84,22,0
93309,93309,93310,21,0,0,0,0,7,68,72,39,62,14,21,56,39,0,0,0,0,0,0
12615,12615,12616,141,10,26,230,40,198,493,284,285,367,41,133,106,27,23,52,13,0,11,2
16922,16922,16923,16,0,0,42,3,47,129,23,36,33,0,16,10,3,0,14,0,5,0,2
23078,23078,23079,8,1,1,28,17,12,44,17,16,47,55,9,16,0,6,4,7,2,0,2
79847,79847,79848,262,76,66,358,131,167,660,389,212,339,113,108,220,83,47,50,28,17,13,0
145346,145346,145347,31,4,4,40,7,15,41,40,42,62,31,10,21,9,0,9,4,0,0,3
150792,150792,150793,66,17,27,39,9,15,30,54,12,31,6,2,52,0,0,10,19,0,0,3
35129,35129,35130,316,122,88,291,161,153,620,327,222,261,42,108,249,96,30,76,14,18,8,4
32102,32102,32103,166,18,18,165,58,116,651,291,269,613,139,174,268,33,8,69,14,21,14,4
101912,101912,101913,21,18,6,53,27,83,153,14,40,71,8,50,23,3,0,4,13,0,12,1
22326,22326,22327,37,0,14,60,12,58,178,12,53,51,6,41,1,3,0,33,5,8,31,2
98607,98607,98608,7,0,5,9,7,4,31,14,13,21,9,8,17,2,3,3,0,0,0,0
61146,61146,61147,31,5,10,35,18,29,66,26,23,42,0,20,18,0,0,5,5,5,0,4
144323,144323,144324,48,17,21,66,25,68,125,72,42,85,14,20,32,11,0,24,18,14,0,3
22636,22636,22637,27,30,38,97,22,73,265,21,65,62,16,20,15,0,0,22,7,3,5,2
38449,38449,38450,56,29,45,92,34,81,145,87,44,83,21,14,22,13,0,13,18,26,0,4
15557,15557,15558,158,7,19,153,68,42,104,249,84,115,14,36,133,59,0,15,13,3,0,2
16584,16584,16585,19,5,8,66,10,32,84,60,16,38,7,4,28,0,0,15,0,5,0,2
35994,35994,35995,152,36,50,235,57,97,322,194,146,194,39,57,81,20,29,52,22,4,0,4
159248,159248,159249,21,18,6,65,38,71,230,39,47,71,13,44,44,5,20,13,5,0,6,3
127853,127853,127854,170,68,97,523,101,375,540,147,119,134,23,71,109,21,15,22,41,0,2,1
125619,125619,125620,412,98,122,593,174,388,712,479,274,430,119,129,259,23,0,81,76,30,7,1
12819,12819,12820,12,0,0,22,8,3,27,11,19,36,16,19,5,0,4,5,8,0,7,2
28648,28648,28649,28,0,4,43,0,30,34,36,13,42,0,3,8,0,0,0,4,0,0,4
6322,6322,6323,40,0,0,5,5,0,47,82,41,52,0,28,26,28,0,18,0,5,4,2
6516,6516,6517,395,125,62,95,241,54,214,470,34,355,242,134,495,154,5,26,0,7,5,2
59966,59966,59967,149,23,57,167,78,94,191,173,75,137,21,35,112,17,0,24,13,3,0,4
135741,135741,135742,34,9,12,41,4,33,59,39,32,52,4,8,23,8,0,12,9,3,0,3
116067,116067,116068,132,96,132,127,59,34,62,64,44,19,7,8,30,23,0,5,34,4,0,1
66390,66390,66391,94,9,25,404,32,186,368,188,165,230,13,86,43,0,5,38,5,8,12,0
108634,108634,108635,76,5,5,116,18,170,263,144,85,117,19,25,40,23,3,42,4,8,0,1
16327,16327,16328,627,188,159,799,365,308,1115,899,486,813,272,288,640,137,43,112,50,68,16,2
5950,5950,5951,81,5,5,41,11,20,201,129,75,136,36,42,101,46,0,22,0,8,4,2
41241,41241,41242,50,35,45,123,34,86,89,18,27,10,0,0,4,11,3,4,8,0,0,4
93916,93916,93917,74,4,33,293,60,153,314,147,116,196,18,42,80,17,0,33,27,12,1,0
3299,3299,3300,61,16,14,62,12,10,34,53,10,4,5,6,55,11,0,0,4,0,0,2
75308,75308,75309,1930,490,830,6695,1180,3140,11275,4430,2945,6685,5040,1855,2270,180,2620,765,395,580,140,0
42246,42246,42247,13,0,5,36,7,42,160,15,18,14,3,11,8,0,0,12,9,9,5,4
6058,6058,6059,19,0,0,16,15,8,72,21,52,29,0,4,9,4,0,0,0,7,0,2
104475,104475,104476,45,9,21,166,47,96,186,42,36,55,11,30,19,0,4,19,13,8,4,1
152427,152427,152428,75,70,62,106,45,60,112,60,46,29,0,24,36,4,0,16,16,0,0,3
124340,124340,124341,155,37,61,367,65,132,511,177,139,156,53,48,93,3,4,69,35,36,3,1
136381,136381,136382,131,34,45,158,82,42,48,136,21,54,41,9,100,2,0,19,15,9,0,3
48804,48804,48805,65,14,9,67,3,54,157,62,49,69,17,52,38,4,0,53,0,9,15,4
118232,118232,118233,13,4,8,32,4,36,50,12,10,10,0,8,6,0,0,0,22,0,5,1
107720,107720,107721,168,11,20,46,54,15,38,204,28,124,13,22,155,48,0,8,0,3,0,1
110028,110028,110029,56,18,21,152,50,74,331,61,83,149,61,57,57,9,36,21,22,3,0,1
96734,96734,96735,38,10,13,56,23,19,86,41,55,49,7,26,28,9,0,14,0,3,7,0
32756,32756,32757,21,5,7,55,11,23,23,20,4,8,3,0,16,0,0,3,7,0,0,4
19331,19331,19332,54,9,16,43,15,24,39,66,21,58,2,0,17,7,0,8,6,3,0,2
59378,59378,59379,146,26,37,580,58,290,741,128,231,246,64,91,76,0,31,56,64,50,20,4
13867,13867,13868,396,72,102,538,250,519,674,711,329,509,52,148,312,133,15,50,38,9,7,2
40076,40076,40077,31,0,0,15,9,25,117,88,74,239,38,77,42,0,0,7,0,3,2,4
118958,118958,118959,464,157,183,870,291,361,605,569,249,506,232,152,360,60,38,39,77,28,17,1
25283,25283,25284,37,10,10,28,5,13,37,42,30,50,0,0,12,9,0,10,10,4,0,4
1109,1109,1110,21,0,4,22,4,6,28,27,15,25,0,0,18,0,0,3,4,0,0,2
78552,78552,78553,21,0,0,80,14,39,49,40,13,21,17,15,22,0,0,8,5,3,0,0
66232,66232,66233,71,0,0,7,41,4,9,60,12,22,0,9,32,34,0,0,0,0,0,0
110765,110765,110766,85,55,41,62,48,36,85,38,13,28,13,10,25,17,0,6,7,0,0,1
141856,141856,141857,179,25,50,491,83,239,390,244,135,259,86,79,122,7,0,35,43,18,5,3
73010,73010,73011,99,3,3,62,18,39,143,104,52,69,22,0,41,0,0,45,11,5,0,0
118253,118253,118254,507,93,96,359,168,143,415,888,223,657,309,144,752,68,5,56,7,3,7,1
25788,25788,25789,24,6,10,23,15,9,39,22,33,18,2,9,12,12,0,4,0,1,0,4
128576,128576,128577,534,136,230,1264,275,612,1413,872,580,903,217,230,410,23,17,105,136,68,27,1
11983,11983,11984,52,6,12,41,6,20,69,59,41,80,8,6,14,8,0,14,6,5,0,2
29406,29406,29407,556,319,326,626,322,519,1269,464,306,605,292,216,323,91,16,149,97,40,32,4
33228,33228,33229,43,2,28,63,11,20,118,67,47,84,14,19,37,0,13,4,22,17,5,4
30176,30176,30177,385,112,133,988,197,395,828,427,231,251,59,71,191,111,56,73,72,15,8,4
96321,96321,96322,153,135,83,1380,184,403,1030,171,333,397,250,192,160,27,3,12,52,12,8,0
43362,43362,43363,608,174,173,466,249,106,287,781,176,404,62,116,496,245,3,29,13,13,0,4
152630,152630,152631,17,3,3,34,0,28,97,28,32,33,5,18,12,0,2,19,0,5,0,3
138140,138140,138141,1531,275,487,2379,821,783,2022,2467,1054,2006,654,529,1367,295,45,209,221,104,40,3
122122,122122,122123,195,17,14,73,46,84,193,318,90,208,23,50,181,71,0,54,3,14,0,1
109701,109701,109702,727,364,486,1384,434,939,2165,705,564,753,140,301,360,127,77,268,210,38,20,1
22198,22198,22199,303,159,124,259,130,67,322,286,214,267,40,120,178,129,0,27,27,7,13,2
75456,75456,75457,73,22,33,204,55,166,282,73,44,106,25,41,22,4,5,18,22,8,4,0
28793,28793,28794,113,8,6,66,23,7,218,183,151,180,19,57,105,17,0,37,0,15,0,4
64576,64576,64577,26,4,4,101,4,81,237,54,97,89,0,21,22,13,9,43,9,0,0,0
122063,122063,122064,22,0,0,15,0,32,107,33,36,39,0,13,38,8,0,17,8,9,0,1
121336,121336,121337,20,6,8,80,13,34,76,18,29,31,5,11,17,3,4,6,0,0,3,1
121069,121069,121070,116,26,26,60,52,50,82,96,16,55,7,28,74,35,0,3,3,0,2,1
121290,121290,121291,25,18,18,26,3,31,145,53,65,69,5,35,40,30,0,26,0,4,0,1
30633,30633,30634,18,2,2,104,5,108,167,27,59,46,13,30,32,5,8,10,7,5,0,4
101011,101011,101012,33,15,11,60,14,59,98,35,30,44,6,17,15,4,0,6,10,0,3,1
133861,133861,133862,118,34,116,129,156,39,66,101,19,62,46,10,51,3,0,12,31,2,0,3
92451,92451,92452,11,0,2,17,1,11,21,22,16,22,3,1,11,0,0,3,0,2,0,0
4444,4444,4445,171,48,53,176,72,113,318,222,146,171,23,69,161,58,6,49,14,12,0,2
13884,13884,13885,119,69,108,203,48,174,234,63,50,107,42,58,49,8,0,14,32,8,0,2
